headlines
Why Biden is pulling the US -- and NATO -- out of Afghanistan
Mc
Biden to announce withdrawal of US troops from Afghanistan by September 11
Biden takes the easy way out of Afghanistan. The likely result is disaster.
Biden Withdrawal Plan for Afghanistan Amounts to Surrender
"Decision expected on charging Kim Potter, the cop who killed Daunte Wright"
"Here's what we know about Kim Potter, the officer who fatally shot Daunte Wright"
Readers Write: The death of Daunte Wright
"Daunte Wright protests: More clashes in Brooklyn Center, but quieter elsewhere - Minneapolis / St. Paul Business Journal"
Daunte Wright called his mother right before he was shot. This is what he said
"Bernie Madoff of Ponzi Scheme Infamy Has Died in Federal Prison: APNew York (AP) -- Bernie Madoff, the financier who pleaded guilty to orchestrating the largest Ponzi scheme in history, died in a federal prison early Wednesday, ...ampvideo_youtube"
"Bernie Madoff, mastermind of the nation's biggest investment fraud, dies at 82, AP reports"
Bernie Madoff death: Ponzi scheme fraudster dies in federal prison aged 82
Ponzi schemer Bernie Madoff dies in North Carolina prison
AP source: Ponzi schemer Bernie Madoff dies in prison
"Women detail drug use, sex and payments after late-night parties with Gaetz and others"
New details shed light on Gaetz's Bahamas trip
Matt Gaetz associate has been cooperating with Justice Department since last year
This Florida Man may lead the GOP out of the wilderness | Column
Op-ed: Florida Man could pave the GOP’s future
"Derek Chauvin’s defense opens with focus on George Floyd’s drug use, rebuttal testimony on use of force"
LIVE on April 14 at 10:15 a.m. ET | Derek Chauvin trial continues with defense testimonyampvideo_youtube
Use-of-force expert for defense says Derek Chauvin was justified in kneeling on George Floyd
Chauvin defense begins case with narrow testimony of Floyd's 2019 arrest
"Five stories you need to know for April 14, 2021ampvideo_youtube"
‘Most humiliating punishment imaginable’: Black National Guardsman allegedly forced to wear heavy chain
Liz Cheney's dubious claim that just 6% of Biden plan is “infrastructure”ampvideo_youtube
George Floyd not related to North Carolina shooting suspectampvideo_youtube
Is Joe Biden's infrastructure proposal fully paid for?ampvideo_youtube
Fact check: False claim that President Joe Biden's approval rating lowest in American historyampvideo_youtube
"Did George Floyd say he 'ate too many drugs,' as Derek Chauvin's defense claimed?ampvideo_youtube"
FE_Young Blood_Banner
Asymptomatic Infection Is a Deep Biological Mysteryampvideo_youtube
"More than 1,000 people marched through downtown Brooklyn, New York, in November 2019 to protest against police brutality. | Erik Mc"
"Pui-Wing, right, and Pui Ling Tam in Emeryville, Calif. By April, more than 18.4 million doses had been given in the state."
Chelsey Glasson reported pregnancy discrimination at Google. Now they’re taking her to court.
"Noah and Rosalie at 5 months old in February. (Rebecca Roberts)Woman gets pregnant while already pregnant, gives birth to twins conceived 3 weeks apartampvideo_youtube"
The economy is on the cusp of a major boom and economists believe it could lastampvideo_youtube
"The short 'Home' tackles Asian American identity, racismampvideo_youtube"
"Alex Wong, Getty Images"
"A person holds a phone showing a text message stating to be from ""BHM1 leadership"" regarding the unionization vote in Alabama."
"“There are all of these patterns that we just keep seeing over and over again,” Leah Hebert, a former state legislative aide, said of sexual harassment in New York’s state capital. “You could definitely look at Albany and say nothing has changed.”Victor J. Blue/Bloomberg‘Bond Girl’ Talk and Groping: Albany’s Toxic Culture for Womenampvideo_youtube"
"Stephen Curry tops Wilt Chamberlain as Golden State Warriors' all-time scoring leader, then caps night by dropping 53 in winampvideo_youtube"
NPRCDC Studies 'Breakthrough' COVID Cases Among People Already Vaccinatedampvideo_youtube
"A National Guard soldier maintain watch and directs traffic at a shopping center in Brooklyn Center, Minn., a suburb of Minneapolis, Monday, April 12, 2021. A Black man died after being shot by police in a Minneapolis suburb during a traffic stop and crashing his car several blocks away, sparking violent protests that lasted into the early hours Monday as officers in riot gear clashed with demonstrators and the man’s mother called for calm. (AP Photo/Jim Mone)Police: Minnesota officer meant to draw Taser, not handgunampvideo_youtube"
"Danny, left, and Grace Lavery in Brooklyn. Both have signed contracts with the newsletter platform Substack."
‘Negotiating with your worst enemy’: Biden in risky talks to pay Brazil to save Amazonampvideo_youtube
"Tech comedians are poking fun at their employers, drawing big followingsampvideo_youtube"
Hard choices emerge as link between Astra
"A climate of fear surrounds the headquarters of the leading opposition party in Kampala, Uganda’s capital."
Chef Ángel León found eelgrass seeds have 50% more protein than rice – and the plant stores carbon far faster than a rainforest.
